h3_index,Autoctona,Foranea,ratio
89c2e31062bffff,3,169,0.01744186046511628
89c2e31062fffff,2,165,0.011976047904191617
89c2e310633ffff,13,202,0.06046511627906977
89c2e310637ffff,13,178,0.06806282722513089
89c2e31063bffff,22,101,0.17886178861788618
89c2e310643ffff,0,98,0.0
89c2e310647ffff,1,174,0.005714285714285714
89c2e31064bffff,0,86,0.0
89c2e31064fffff,2,176,0.011235955056179775
89c2e310653ffff,7,112,0.058823529411764705
89c2e310657ffff,12,288,0.04
89c2e31065bffff,2,121,0.016260162601626018
89c2e310663ffff,8,206,0.037383177570093455
89c2e310667ffff,3,168,0.017543859649122806
89c2e31066bffff,5,217,0.02252252252252252
89c2e31066fffff,14,178,0.07291666666666667
89c2e310673ffff,5,261,0.018796992481203006
89c2e310677ffff,21,245,0.07894736842105263
89c2e31067bffff,4,169,0.023121387283236993
89c2e310683ffff,4,111,0.034782608695652174
89c2e310687ffff,8,229,0.03375527426160337
89c2e31068bffff,5,193,0.025252525252525252
89c2e31068fffff,5,147,0.03289473684210526
89c2e310693ffff,3,168,0.017543859649122806
89c2e310697ffff,2,191,0.010362694300518135
89c2e31069bffff,3,243,0.012195121951219513
89c2e3106a3ffff,11,173,0.059782608695652176
89c2e3106a7ffff,9,222,0.03896103896103896
89c2e3106abffff,15,182,0.07614213197969544
89c2e3106afffff,15,181,0.07653061224489796
89c2e3106b3ffff,1,203,0.004901960784313725
89c2e3106b7ffff,8,171,0.0446927374301676
89c2e3106bbffff,14,180,0.07216494845360824
89c2e3106c3ffff,1,182,0.00546448087431694
89c2e3106c7ffff,2,166,0.011904761904761904
89c2e3106cbffff,1,195,0.00510204081632653
89c2e3106cfffff,4,223,0.01762114537444934
89c2e3106d3ffff,2,148,0.013333333333333334
89c2e3106d7ffff,4,201,0.01951219512195122
89c2e3106dbffff,5,190,0.02564102564102564
89c2e310803ffff,8,181,0.042328042328042326
89c2e310807ffff,14,292,0.0457516339869281
89c2e31080bffff,11,239,0.044
89c2e31080fffff,1,207,0.004807692307692308
89c2e310813ffff,1,209,0.004761904761904762
89c2e310817ffff,0,242,0.0
89c2e31081bffff,15,288,0.04950495049504951
89c2e310823ffff,3,200,0.014778325123152709
89c2e310827ffff,0,175,0.0
89c2e31082bffff,4,141,0.027586206896551724
89c2e31082fffff,6,140,0.0410958904109589
89c2e310833ffff,12,193,0.05853658536585366
89c2e310837ffff,4,169,0.023121387283236993
89c2e31083bffff,6,243,0.024096385542168676
89c2e310843ffff,6,109,0.05217391304347826
89c2e310847ffff,3,129,0.022727272727272728
89c2e31084bffff,4,198,0.019801980198019802
89c2e31084fffff,1,144,0.006896551724137931
89c2e310853ffff,2,163,0.012121212121212121
89c2e310857ffff,0,51,0.0
89c2e31085bffff,6,101,0.056074766355140186
89c2e310863ffff,12,170,0.06593406593406594
89c2e310867ffff,13,154,0.07784431137724551
89c2e31086bffff,2,176,0.011235955056179775
89c2e31086fffff,1,126,0.007874015748031496
89c2e310873ffff,7,192,0.035175879396984924
